Original,Übersetzung,Adequacy,Fluency
"<seg id=""133""> Denn Du siehst ja, dass ich alles, was ich habe, investiere. Ich habe nicht mehr als das. </seg>","For you see that I have everything I have, I have no longer investment.",1,1
"<seg id=""134""> Wenn Du es also besser haben willst, musst Du hier aufkreuzen und Deinen Anteil der Abmachung einhalten. </seg>","So if you want to do better, you must change here and keep your share of the deal.",2,3
"<seg id=""135""> Okay. Aber, wenn Du das nicht tust... weißt Du was, dann zum Teufel damit. </seg>","Okay. But if you don't do so... You know what, then the devil.",2,2
"<seg id=""136""> Ich werde trotzdem weiter schreiben, denn das ist mein Job. </seg>","I will still write further, because that is my job.",4,3
"<seg id=""137""> Und ich möchte bitte zu Protokoll geben, dass ich heute für meinen Teil des Jobs hier war.“ </seg>",And I wish to offer minutes that I was now part of the jobs here.,1,2
"<seg id=""138""> Denn... ...am Ende ist es wie folgt. Vor Jahrhunderten haben sich in den Wüsten Nordafrikas Menschen zu Mondscheinfesten mit heiligen Tänzen und Musik versammelt, die stundenlang abgehalten wurden – bis zur Morgendämmerung. </seg>","For … at the end, it is like this. Centuries ago, the north Africa's people have gathered mockery with holy sticks and music that have been held for hours – until the dawn of day.",2,2
"<seg id=""139""> Diese Feste waren immer großartig, denn die Tänzer waren professionell und sie waren fantastisch. </seg>","This firm was always great, because the dancers were professional, and they were terrific.",2,2
"<seg id=""140""> Aber hin und wieder, sehr selten, passierte etwas besonderes. Einer der Darsteller wurde tatsächlich überweltlich. </seg>","But, again, very rare, something happened, and one of the performers was actually outsized.",2,2
"<seg id=""141""> Und ich weiß, dass Sie wissen, was ich meine, denn ich weiß, dass Sie alle in Ihrem Leben schon einmal eine solche Darbietung gesehen haben. </seg>","And I know that they know what I mean, because I know that they all have seen such a show in their lives.",2,3
"<seg id=""142""> Es war als würde die Zeit stillstehen und der Tänzer durch eine Art Pforte treten. Er tat nichts anders als er es je zuvor getan hat – 1.000 Nächte zuvor. Aber alles fügte sich zusammen. </seg>","It was the time to stand up and the dancers join a kind of pforte, doing nothing differently than he has ever done – 1,000 nights earlier. But all of them combined.",1,1
"<seg id=""143""> Und ganz plötzlich erschien er nicht mehr länger rein menschlich. </seg>","Suddenly, he no longer appeared in human rights.",1,2
"<seg id=""144""> Er wurde von innen erhellt und von unten erhellt und alles erhellte sich durch ein göttliches Feuer. </seg>","It has been elicited by inward and wayward, and everything has been eluded by a divine fire.",1,1
"<seg id=""145""> Als so etwas damals geschah, wussten die Leute was das war. Sie nannten es bei seinem Namen. </seg>","When something happened then, people knew what it was; they called it in his name.",4,2
"<seg id=""146""> Sie legten die Hände zusammen und begannen zu singen: „Allah, Allah, Allah, Gott, Gott, Gott.“ </seg>","They put the hands together and began to sing: 'allah, Allah, Allah, god, god, god.",4,4
"<seg id=""147""> Das ist Gott, wissen Sie? </seg>","That is god, you know?",5,5
"<seg id=""148""> Interessante historische Fußnote: als die Mohren Südspanien eroberten brachten sie diesen Brauch mit. Die Aussprache änderte sich im Laufe der Jahrhunderte von „Allah, Allah, Allah“ zu „Olé, olé, olé“, das man immer noch bei Stierkämpfen und Flamenco-Tänzen hört. </seg>","Interesting historical footnote: when southern Spain conquered it, the language changed over the centuries of'allah, Allah, 'olé, olé, olé, 'which is still struggling and fodder.",1,2
"<seg id=""149""> Wenn ein Darsteller in Spanien etwas unmögliches, etwas magisches getan hat: „Allah, olé, olé, Allah, großartig, bravo“ Unfassbar, da ist es: ein flüchtiger Blick auf Gott. </seg>","If an actor in Spain has done something impossible, a bit magic: 'allah, olé, Allah, Allah, Allah, Allah, great, great, favo, 'as it is: a fleeting look at god.",2,2
"<seg id=""150""> Und das ist großartig, denn wir brauchen das. </seg>","And that is great, because we need that.",5,5
"<seg id=""151""> Aber, der knifflige Teil folgt am nächsten Morgen, wenn der Tänzer selbst aufwacht und erkennt, dass es 11 Uhr an einem Dienstag ist – und er nicht länger ein Fünkchen von Gott in sich trägt. </seg>","But the slippery part of the next morning, when the dancers wake up and recognize that it is 11 on a plane, and he no longer bears a fifth of god.",1,1
"<seg id=""152""> Er ist lediglich ein alternder Sterblicher mit schmerzenden Knien. Und vielleicht wird er nie wieder zu diesen Höhen aufsteigen. </seg>","He is merely an aging mortal with painful kours, and perhaps he will never be returning to these heights.",3,2
"<seg id=""153""> Und vielleicht wird nie wieder jemand Gottes Namen rufen, wenn er sich dreht. Aber was soll er dann mit dem Rest seines Lebens anfangen? </seg>","And perhaps someone will never call god once he turns, but what should he start with the rest of his life?",3,2
"<seg id=""154""> Das ist schwer. </seg>",That is hard.,5,5
"<seg id=""155""> Das ist eine der schmerzhaftesten Korrekturen eines kreativen Lebens. </seg>",This is one of the most painful corrections of creative life.,5,3
"<seg id=""156""> Aber vielleicht muss es nicht ganz so voller Pein sein, wenn Sie von Anfang an nicht geglaubt haben, dass die außergewöhnlichsten Aspekte Ihres Daseins von Ihnen kämen. </seg>",But it may not have to be very full of pein if they did not believe from the beginning that the most extraordinary aspects of their dasone would be.,1,1
"<seg id=""157""> Wenn Sie vielleicht nur glauben, dass sie eine Leihgabe sind – von einer unvorstellbaren Quelle für eine erlesene Zeit Ihres Lebens, die an jemand anderen weitergegeben wird, wenn Sie fertig damit sind. </seg>",If you may only believe that you are a bond – from an unimaginable source of your life passed on to someone else when you cope with it.,1,1
"<seg id=""158""> Wenn wir anfangen, so darüber nachdenken, ändert das alles. </seg>","When we start thinking, it changes everything.",4,5
"<seg id=""159""> So habe ich angefangen zu denken und so denke ich mit Sicherheit in den vergangenen Monaten, während ich an dem Buch arbeitete, das bald erscheinen wird – als der gefährliche, beängstigende, stark erwartete Nachfolger meines abgefahrenen Erfolgs. </seg>","For example, I started thinking and I certainly worked in the past few months, while I worked in the book that will seem soon – as the dangerous, frightening, highly expected successors of my dismissed success.",1,1
"<seg id=""160""> Was ich mir ständig selbst sagen muss, wenn ich darüber verrückt werde, ist: hab keine Angst. </seg>",What I must always say when I will get crazy: don't fear.,2,3
"<seg id=""161""> Sei nicht entmutigt. </seg>",If not discouraged.,1,1
"<seg id=""162""> Mache einfach Deinen Job. </seg>",Get your job.,1,3
"<seg id=""163""> Sei weiterhin für Deinen Beitrag da, was auch immer er sein möge. </seg>","If your contribution remains, whatever he might be.",1,1
"<seg id=""164""> Wenn Dein Job das Tanzen ist, tanze. </seg>","If your job is dancing, tance.",4,1
"<seg id=""165""> Wenn sich das dumme göttliche Genie, das Dir zur Seite gestellt ist, entscheidet, für einen kurzen Moment einen Hauch von Wunder durch Deine Anstrengung zu zeigen, dann „Olé!“ </seg>","If the fool's divine genius that you have on your side decides to show a simple moment as wonders by your effort, 'olé!",2,1
"<seg id=""166""> Und wenn nicht, tanze dennoch Deinen Tanz. </seg>","And if not, tance will dance.",1,1
"<seg id=""167""> Und „Olé!“ für Dich trotz alledem. </seg>",And'olé! 'for all of you,2,3
"<seg id=""168""> Ich glaube daran und ich habe das Gefühl, wir sollten das lehren. </seg>",I believe it and I feel that we should learn the lessons.,3,3
"<seg id=""169""> „Olé!“ für Dich trotz alledem, einfach dafür, dass Du die bloße menschliche Liebe und den Eigensinn hast, dafür da zu sein. </seg>","'olé! 'for all of you, simply to be the mere human love and self-interest.",1,1
"<seg id=""170""> Danke. </seg>",Thank you.,5,5
"<seg id=""171""> Danke. </seg>",Thank you.,5,5
"<seg id=""172""> Olé! </seg>",Olé!,5,5
,,,
,DURCHSCHNITT,"2,84","2,76"
